year,win,lose,tie
1966,3,11,0
1967,4,10,0
1968,5,8,1
1969,3,10,1
1970,10,4,0
1971,10,3,1
1972,14,0,0
1973,12,2,0
1974,11,3,0
1975,10,4,0
1976,6,8,0
1977,10,4,0
1978,11,5,0
1979,10,6,0
1980,8,8,0
1981,11,4,1
1982,7,2,0
1983,12,4,0
1984,14,2,0
1985,12,4,0
1986,8,8,0
1987,8,7,0
1988,6,10,0
1989,8,8,0
1990,12,4,0
1991,8,8,0
1992,11,5,0
1993,9,7,0
1994,10,6,0
1995,9,7,0
1996,8,8,0
1997,9,7,0
1998,10,6,0
1999,9,7,0
2000,11,5,0
2001,11,5,0
2002,9,7,0
2003,10,6,0
2004,4,12,0
2005,9,7,0
2006,6,10,0
2007,1,15,0
2008,11,5,0
2009,7,9,0
2010,7,9,0
2011,6,10,0
2012,7,9,0
2013,8,8,0
2014,8,8,0
2015,6,10,0
2016,10,6,0
2017,6,10,0
2018,7,9,0